Имя;цена
TORNTPHARM;2,652.00
VPRPL;144.00
NTPC;321.05
BOHRAIND;22.00
MIRZAINT;44.00
PVRINOX;1,299.05
CANBK;534.00
JAMNAAUTO;108.95
MAHABANK;53.95
WABAG;656.00
COFORGE;6,145.00
SHOPERSTOP;713.55
CUMMINSIND;2,663.40
REDINGTON;191.00
DALMIASUG;350.00
INDIAMART;2,504.95
BERGEPAINT;554.10
BAJAJFINSV;1,565.60
HEUBACHIND;435.00
VINYLINDIA;330.50
ESABINDIA;4,848.00
AMIORG;1,015.00
ORIENTPPR;41.00
BLUEJET;334.75
MITCON;111.10
EICHERMOT;3,717.00
ASAHIINDIA;510.00
AXISBANK;1,075.00
DLF;826.00
TATACHEM;1,091.95
IFBIND;1,333.20
MALUPAPER;39.50
MEDICO;78.45
FLUOROCHEM;3,211.00
SPLPETRO;594.70
BDL;1,582.00
VOLTAS;1,037.10
ASTERDM;411.00
ADANIGREEN;1,716.00
SHK;169.80
STARPAPER;216.50
JINDALPOLY;480.00
POWERINDIA;6,335.85
LGBFORGE;9.00
EKC;116.45
INDOCO;321.05
HEMIPROP;169.00
ELGIEQUIP;621.30
DSSL;705.00
PYRAMID;141.00
MSTCLTD;772.45
DABUR;517.00
DOLATALGO;61.25
INDOBORAX;148.60
DIVISLAB;3,460.00
LTTS;5,125.05
LOYALTEX;494.00
AKSHOPTFBR;8.65
DWARKESH;77.60
BSOFT;719.10
EMAMIPAP;111.25
RBA;101.30
MOTILALOFS;1,392.50
DEEPINDS;239.95
IZMO;247.70
CARBORUNIV;1,054.45
NACLIND;57.40
THERMAX;3,607.05
SHYAMMETL;541.00
GRINFRA;1,206.05
ORIENTELEC;194.50
ALKEM;4,915.00
PTCIL;7,117.70
WINDLAS;485.00
ADVENZYMES;348.50
AARTIIND;616.00
IRCTC;875.05
CANFINHOME;716.85
UFLEX;403.00
WIPRO;501.15
MARATHON;452.25
BAJAJ-AUTO;8,330.50
RAMANEWS;15.30
WTICAB;160.00
GFLLIMITED;68.40
MINDACORP;380.00
TIDEWATER;1,389.55
BALMLAWRIE;205.00
POONAWALLA;462.30
INDUSTOWER;234.85
UTKARSHBNK;45.45
FOSECOIND;3,050.00
63MOONS;381.00
NIITMTS;491.05
POKARNA;431.00
LICHSGFIN;586.50
DIAMONDYD;963.00
AMBUJACEM;555.50
TRITURBINE;458.00
AUBANK;573.00
NAUKRI;5,072.50
SARDAEN;182.00
BEL;189.00
CRAFTSMAN;3,825.00
DEEPAKNTR;2,051.00
ICICIGI;1,631.95
VINATIORGA;1,560.05
GILLETTE;6,330.00
NSIL;3,072.10
